,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2012-08-08,2390.959,2405.183,2382.825,2389.795,3781045100.0,41340862162.0
2012-08-09,2388.43,2412.142,2378.854,2411.7,3565895100.0,43256096919.0
2012-08-10,2409.937,2413.423,2395.912,2399.751,3470299500.0,40699222527.0
2012-08-13,2394.504,2394.504,2350.808,2351.931,4478354600.0,46249676189.0
2012-08-14,2352.659,2357.847,2324.906,2357.016,3985006600.0,42404687531.0
2012-08-15,2350.022,2350.022,2330.15,2331.615,3058017600.0,30332554840.0
2012-08-16,2327.91,2335.397,2317.061,2319.67,2590290500.0,27076003542.0
2012-08-17,2318.432,2322.885,2295.158,2313.476,2606571700.0,28629966797.0
2012-08-20,2294.901,2307.406,2279.946,2301.788,2740203300.0,27174816852.0
2012-08-21,2301.932,2327.375,2296.551,2313.703,3489510000.0,34757869338.0
2012-08-22,2315.14,2317.373,2285.755,2295.586,3170841200.0,31547519179.0
2012-08-23,2298.18,2311.653,2285.367,2302.199,3133534200.0,33789603948.0
2012-08-24,2295.684,2299.298,2274.566,2275.677,3186959100.0,32986336544.0
